date,pre_close,open,high,low,close,volume,amt,adjfactor
2018/11/7,3450.4874,3451.1086,3480.9486,3430.4846,3433.2097,39859510176,3.38E+11,1
2018/11/8,3433.2097,3458.5169,3462.9503,3417.6272,3421.3589,36840245099,2.96E+11,1
2018/11/9,3421.3589,3403.6892,3415.7369,3389.3417,3390.3621,34579786660,2.74E+11,1
2018/11/12,3390.3621,3384.7055,3456.702,3382.0777,3456.6291,42418337506,3.39E+11,1
2018/11/13,3456.6291,3417.1039,3524.2216,3411.7738,3505.9612,60226130305,4.55E+11,1
2018/11/14,3505.9612,3501.8781,3523.6866,3478.8735,3485.5216,55246034307,4.11E+11,1
2018/11/15,3485.5216,3483.346,3534.443,3482.0168,3534.443,48888005182,4.03E+11,1
2018/11/16,3534.443,3536.5381,3581.3792,3521.3376,3558.9289,55880559229,4.75E+11,1
2018/11/19,3558.9289,3558.5983,3585.5359,3544.3579,3585.4853,52623879443,4.39E+11,1
2018/11/20,3585.4853,3555.6639,3566.2746,3493.4487,3496.3526,50040348904,4.21E+11,1
2018/11/21,3496.3526,3459.3984,3514.9611,3456.5466,3511.9951,42317147080,3.47E+11,1
2018/11/22,3511.9951,3519.4928,3525.6757,3490.3202,3505.7021,37384514803,3.05E+11,1
2018/11/23,3505.7021,3499.5915,3502.0149,3389.4254,3395.6001,44783503419,3.53E+11,1
2018/11/26,3395.6001,3395.0765,3418.681,3378.0245,3390.2936,31435349225,2.51E+11,1
2018/11/27,3390.2936,3406.1709,3420.7164,3381.4182,3398.5431,30356327086,2.48E+11,1
2018/11/28,3398.5431,3398.6157,3441.087,3370.5977,3441.0861,36276941240,2.91E+11,1
2018/11/29,3441.0861,3458.5724,3465.3988,3379.4866,3379.488,37935296311,3.10E+11,1
2018/11/30,3379.488,3373.8466,3412.8832,3353.7889,3409.7867,32783816761,2.67E+11,1
2018/12/3,3409.7867,3496.2574,3524.1576,3472.066,3510.7539,47470650995,4.25E+11,1
2018/12/4,3510.7539,3505.1281,3526.7751,3496.9885,3526.7663,39337394336,3.30E+11,1
2018/12/5,3526.7663,3471.4585,3524.8765,3464.7384,3506.5003,37987071084,3.21E+11,1
2018/12/6,3506.5003,3480.1272,3487.0842,3434.5166,3436.9268,35020165669,3.10E+11,1
2018/12/7,3436.9268,3442.7455,3451.1835,3427.712,3437.0528,27604604049,2.40E+11,1
2018/12/10,3437.0528,3410.6546,3424.162,3387.732,3398.0427,28081054187,2.39E+11,1
2018/12/11,3398.0427,3404.6475,3419.7385,3399.5078,3419.7385,26112870770,2.18E+11,1
2018/12/12,3419.7385,3436.4423,3440.2803,3415.8267,3425.7215,26562945962,2.23E+11,1
2018/12/13,3425.7215,3433.4283,3485.8409,3419.3153,3468.5117,34752762183,3.04E+11,1
2018/12/14,3468.5117,3458.9296,3460.8628,3396.1608,3397.055,34499233960,2.91E+11,1
2018/12/17,3397.055,3386.5543,3396.595,3358.2011,3392.6726,27651325982,2.38E+11,1
2018/12/18,3392.6726,3372.6899,3398.086,3343.3611,3364.5301,27339067660,2.30E+11,1
2018/12/19,3364.5301,3368.8565,3371.761,3318.3849,3322.8267,25379396965,2.17E+11,1
2018/12/20,3322.8267,3315.5405,3330.8171,3289.4435,3316.5886,27363640528,2.31E+11,1
2018/12/21,3316.5886,3304.8539,3306.315,3261.1234,3284.13,27659522465,2.36E+11,1
2018/12/24,3284.13,3274.3007,3304.2085,3265.9376,3303.0189,24083292433,2.13E+11,1
2018/12/25,3303.0189,3270.2991,3285.355,3208.5562,3273.9771,33677056564,2.75E+11,1
2018/12/26,3273.9771,3269.6257,3286.888,3254.3136,3260.8401,26988047562,2.31E+11,1
2018/12/27,3260.8401,3303.3777,3309.3938,3231.1579,3231.2175,31312938357,2.64E+11,1
2018/12/28,3231.2175,3235.2916,3261.721,3219.9022,3244.8955,27462654479,2.39E+11,1
2019/1/2,3244.8955,3251.0792,3254.0141,3205.2744,3214.2658,25619021459,2.25E+11,1
2019/1/3,3214.2658,3209.2378,3246.5282,3196.9359,3203.5551,29656827589,2.50E+11,1
2019/1/4,3203.5551,3175.5659,3282.2831,3170.4036,3282.2831,39969986551,3.21E+11,1
2019/1/7,3282.2831,3301.4936,3328.5165,3289.1697,3323.8462,42512721225,3.46E+11,1
2019/1/8,3323.8462,3318.594,3323.7604,3306.7558,3317.8362,38492244805,2.98E+11,1
2019/1/9,3317.8362,3329.5601,3381.6966,3327.5939,3339.6651,45721585055,3.78E+11,1
2019/1/10,3339.6651,3338.6182,3357.3434,3327.7722,3333.0501,38400422190,3.11E+11,1
2019/1/11,3333.0501,3338.3614,3359.7862,3328.8001,3358.3954,36363465825,2.93E+11,1
2019/1/14,3358.3954,3357.6512,3362.3557,3329.2671,3334.641,35601925328,2.81E+11,1
2019/1/15,3334.641,3333.7824,3387.266,3326.7587,3386.2528,37979681322,3.18E+11,1
2019/1/16,3386.2528,3385.0359,3396.8975,3376.156,3383.5527,36396686626,3.04E+11,1
2019/1/17,3383.5527,3384.5186,3392.4727,3357.3026,3359.9352,37116517514,2.93E+11,1
2019/1/18,3359.9352,3367.8789,3405.3197,3364.9708,3403.2947,40400054049,3.22E+11,1
2019/1/21,3403.2947,3406.611,3435.3908,3406.4088,3421.5607,36330273161,3.09E+11,1
2019/1/22,3421.5607,3418.5396,3418.5396,3370.2,3379.5187,33735504083,2.76E+11,1
2019/1/23,3379.5187,3371.6718,3389.1388,3367.8439,3381.1585,29644914433,2.41E+11,1
2019/1/24,3381.1585,3385.3437,3409.0549,3366.85,3399.1011,34997400742,2.96E+11,1
2019/1/25,3399.1011,3402.6744,3429.1691,3398.2415,3403.4975,36717969962,3.09E+11,1
2019/1/28,3403.4975,3421.3788,3441.1519,3385.6457,3392.5762,34397379536,2.95E+11,1
2019/1/29,3392.5762,3384.4854,3384.4854,3323.0874,3372.3261,36095355104,2.91E+11,1
2019/1/30,3372.3261,3356.7881,3379.0631,3337.2073,3337.2465,28011197878,2.34E+11,1
2019/1/31,3337.2465,3340.5297,3370.9567,3314.5807,3333.465,35842335715,2.84E+11,1
2019/2/1,3333.465,3351.3047,3400.7148,3348.9372,3400.7148,31108913115,2.59E+11,1
2019/2/11,3400.7148,3400.8352,3476.5939,3400.8352,3476.4956,36452763957,3.17E+11,1
2019/2/12,3476.4956,3476.3179,3515.8691,3472.4161,3510.0015,44201529291,3.64E+11,1
2019/2/13,3510.0015,3515.363,3583.3804,3508.7604,3575.5265,56079451113,4.73E+11,1
2019/2/14,3575.5265,3572.718,3600.9416,3562.8588,3586.3165,50611216557,4.16E+11,1
2019/2/15,3586.3165,3577.8101,3587.3243,3544.1094,3547.7599,50230179221,4.17E+11,1
2019/2/18,3547.7599,3572.6406,3664.9033,3572.5259,3664.9033,65600185211,5.46E+11,1
2019/2/19,3664.9033,3677.4246,3698.9759,3634.6398,3667.6786,72426784881,6.05E+11,1
2019/2/20,3667.6786,3673.077,3684.8476,3641.272,3677.8153,61078259755,4.98E+11,1
2019/2/21,3677.8153,3675.4294,3733.0803,3656.4961,3668.3837,72903110414,6.18E+11,1
2019/2/22,3668.3837,3663.1101,3751.6944,3651.7337,3751.6944,71742216710,6.22E+11,1
2019/2/25,3751.6944,3806.2554,3962.9611,3803.5643,3962.5882,1.17E+11,1.04E+12,1
2019/2/26,3962.5882,3971.3497,4013.3173,3926.7653,3936.8848,1.25E+11,1.10E+12,1
2019/2/27,3936.8848,3931.7618,3989.4626,3885.8074,3929.2381,1.02E+11,8.89E+11,1
2019/2/28,3929.2381,3925.6855,3958.0896,3908.5707,3928.2468,77067691706,6.61E+11,1
2019/3/1,3928.2468,3951.0061,3988.7126,3913.9632,3988.7126,74491679928,6.64E+11,1
2019/3/4,3988.7126,4025.0354,4133.632,4013.6557,4052.0983,1.13E+11,1.04E+12,1
2019/3/5,4052.0983,4042.8443,4118.7246,4028.409,4118.7246,98617592265,8.95E+11,1
2019/3/6,4118.7246,4134.3291,4183.825,4099.6219,4180.0182,1.25E+11,1.10E+12,1
2019/3/7,4180.0182,4176.5696,4229.9793,4135.2699,4191.7531,1.27E+11,1.17E+12,1
